Year,Quarter,District,Price
2001,Q1,Arganzuela,1920.4
2001,Q1,Barajas,1661.9
2001,Q1,Carabanchel,1358.6
2001,Q1,Centro,1857.4
2001,Q1,Chamartin,2523.7
2001,Q1,Chamberi,2264.8
2001,Q1,Ciudad Lineal,2006.9
2001,Q1,Fuencarral,2060.1
2001,Q1,Hortaleza,2098.3
2001,Q1,Latina,1473.9
2001,Q1,Madrid,1848.6
2001,Q1,Moncloa,2019.1
2001,Q1,Moratalaz,1672.7
2001,Q1,Puente de Vallecas,1344.1
2001,Q1,Retiro,2152.4
2001,Q1,Salamanca,2437.8
2001,Q1,San Blas,1666.3
2001,Q1,Tetuan,2063.8
2001,Q1,Usera,1292.1
2001,Q1,Vicalvaro,1505.9
2001,Q1,Villa de Vallecas,1270.6
2001,Q1,Villaverde,1110.5
2001,Q2,Arganzuela,1989.8
2001,Q2,Barajas,1679.8
2001,Q2,Carabanchel,1413
2001,Q2,Centro,1988
2001,Q2,Chamartin,2660.9
2001,Q2,Chamberi,2455
2001,Q2,Ciudad Lineal,2073.4
2001,Q2,Fuencarral,2056.8
2001,Q2,Hortaleza,2148.8
2001,Q2,Latina,1527.7
2001,Q2,Madrid,1994.9
2001,Q2,Moncloa,2127.1
2001,Q2,Moratalaz,1716.4
2001,Q2,Puente de Vallecas,1423.2
2001,Q2,Retiro,2339.7
2001,Q2,Salamanca,2533.1
2001,Q2,San Blas,1743.7
2001,Q2,Tetuan,2254
2001,Q2,Usera,1331.4
2001,Q2,Vicalvaro,1523.7
2001,Q2,Villa de Vallecas,1451
2001,Q2,Villaverde,1179.8
2001,Q3,Arganzuela,1974.7
2001,Q3,Barajas,1842.4
2001,Q3,Carabanchel,1481.5
2001,Q3,Centro,2061
2001,Q3,Chamartin,2857.2
2001,Q3,Chamberi,2446.6
2001,Q3,Ciudad Lineal,2254.5
2001,Q3,Fuencarral,2047.4
2001,Q3,Hortaleza,2104.2
2001,Q3,Latina,1572.6
2001,Q3,Madrid,2077.1
2001,Q3,Moncloa,2295.5
2001,Q3,Moratalaz,1742.1
2001,Q3,Puente de Vallecas,1475
2001,Q3,Retiro,2425.8
2001,Q3,Salamanca,2615.4
2001,Q3,San Blas,1805.7
2001,Q3,Tetuan,2287.2
2001,Q3,Usera,1409.8
2001,Q3,Vicalvaro,1689.4
2001,Q3,Villa de Vallecas,1398.1
2001,Q3,Villaverde,1279.5
2001,Q4,Arganzuela,2027.4
2001,Q4,Barajas,1964.7
2001,Q4,Carabanchel,1572.9
2001,Q4,Centro,2155.5
2001,Q4,Chamartin,3006.5
2001,Q4,Chamberi,2695.1
2001,Q4,Ciudad Lineal,2277.1
2001,Q4,Fuencarral,2174.2
2001,Q4,Hortaleza,2192.9
2001,Q4,Latina,1644.9
2001,Q4,Madrid,2182.6
2001,Q4,Moncloa,2250.9
2001,Q4,Moratalaz,1826.3
2001,Q4,Puente de Vallecas,1530.8
2001,Q4,Retiro,2504.3
2001,Q4,Salamanca,2826
2001,Q4,San Blas,1851.6
2001,Q4,Tetuan,2321
2001,Q4,Usera,1532.7
2001,Q4,Vicalvaro,1664.5
2001,Q4,Villa de Vallecas,1458.8
2001,Q4,Villaverde,1342.9
2002,Q1,Arganzuela,2150.8
2002,Q1,Barajas,2082.5
2002,Q1,Carabanchel,1651.5
2002,Q1,Centro,2292
2002,Q1,Chamartin,2836.3
2002,Q1,Chamberi,2780.2
2002,Q1,Ciudad Lineal,2372.4
2002,Q1,Fuencarral,2432.3
2002,Q1,Hortaleza,2179.8
2002,Q1,Latina,1757.1
2002,Q1,Madrid,2291.1
2002,Q1,Moncloa,2643.6
2002,Q1,Moratalaz,1920.8
2002,Q1,Puente de Vallecas,1599.1
2002,Q1,Retiro,2557.6
2002,Q1,Salamanca,2902.7
2002,Q1,San Blas,1908.6
2002,Q1,Tetuan,2474.4
2002,Q1,Usera,1555.1
2002,Q1,Vicalvaro,1934.8
2002,Q1,Villa de Vallecas,1534.6
2002,Q1,Villaverde,1340.1
2002,Q2,Arganzuela,2244.3
2002,Q2,Barajas,2151.7
2002,Q2,Carabanchel,1799.2
2002,Q2,Centro,2454.7
2002,Q2,Chamartin,3095.3
2002,Q2,Chamberi,2901.7
2002,Q2,Ciudad Lineal,2495.9
2002,Q2,Fuencarral,2562.3
2002,Q2,Hortaleza,2445.4
2002,Q2,Latina,1862.8
2002,Q2,Madrid,2476.2
2002,Q2,Moncloa,2679.2
2002,Q2,Moratalaz,1990.9
2002,Q2,Puente de Vallecas,1698.2
2002,Q2,Retiro,2711
2002,Q2,Salamanca,3113.1
2002,Q2,San Blas,1949.8
2002,Q2,Tetuan,2483.7
2002,Q2,Usera,1731.9
2002,Q2,Vicalvaro,2012.4
2002,Q2,Villa de Vallecas,1543.9
2002,Q2,Villaverde,1436.4
2002,Q3,Arganzuela,2425.7
2002,Q3,Barajas,2542.6
2002,Q3,Carabanchel,1837.5
2002,Q3,Centro,2523
2002,Q3,Chamartin,3160.8
2002,Q3,Chamberi,3180.4
2002,Q3,Ciudad Lineal,2674.5
2002,Q3,Fuencarral,2675.4
2002,Q3,Hortaleza,2422
2002,Q3,Latina,2028.3
2002,Q3,Madrid,2603.4
2002,Q3,Moncloa,2621.2
2002,Q3,Moratalaz,2061
2002,Q3,Puente de Vallecas,1733.7
2002,Q3,Retiro,2847.5
2002,Q3,Salamanca,3273
2002,Q3,San Blas,2226.6
2002,Q3,Tetuan,2783.9
2002,Q3,Usera,1897.4
2002,Q3,Vicalvaro,2062.9
2002,Q3,Villa de Vallecas,1822.6
2002,Q3,Villaverde,1692.6
2002,Q4,Arganzuela,2656.7
2002,Q4,Barajas,2593.1
2002,Q4,Carabanchel,2069.5
2002,Q4,Centro,2789.5
2002,Q4,Chamartin,3529.2
