Quarter	District	Price
2001 1Q	Arganzuela	1920.4
2001 1Q	Barajas	1661.9
2001 1Q	Carabanchel	1358.6
2001 1Q	Centro	1857.4
2001 1Q	Chamartin	2523.7
2001 1Q	Chamberi	2264.8
2001 1Q	Ciudad Lineal	2006.9
2001 1Q	Fuencarral	2060.1
2001 1Q	Hortaleza	2098.3
2001 1Q	Latina	1473.9
2001 1Q	Madrid	1848.6
2001 1Q	Moncloa	2019.1
2001 1Q	Moratalaz	1672.7
2001 1Q	Puente de Vallecas	1344.1
2001 1Q	Retiro	2152.4
2001 1Q	Salamanca	2437.8
2001 1Q	San Blas	1666.3
2001 1Q	Tetuan	2063.8
2001 1Q	Usera	1292.1
2001 1Q	Vicalvaro	1505.9
2001 1Q	Villa de Vallecas	1270.6
2001 1Q	Villaverde	1110.5
2001 2Q	Arganzuela	1989.8
2001 2Q	Barajas	1679.8
2001 2Q	Carabanchel	1413
2001 2Q	Centro	1988
2001 2Q	Chamartin	2660.9
2001 2Q	Chamberi	2455
2001 2Q	Ciudad Lineal	2073.4
2001 2Q	Fuencarral	2056.8
2001 2Q	Hortaleza	2148.8
2001 2Q	Latina	1527.7
2001 2Q	Madrid	1994.9
2001 2Q	Moncloa	2127.1
2001 2Q	Moratalaz	1716.4
2001 2Q	Puente de Vallecas	1423.2
2001 2Q	Retiro	2339.7
2001 2Q	Salamanca	2533.1
2001 2Q	San Blas	1743.7
2001 2Q	Tetuan	2254
2001 2Q	Usera	1331.4
2001 2Q	Vicalvaro	1523.7
2001 2Q	Villa de Vallecas	1451
2001 2Q	Villaverde	1179.8
2001 3Q	Arganzuela	1974.7
2001 3Q	Barajas	1842.4
2001 3Q	Carabanchel	1481.5
2001 3Q	Centro	2061
2001 3Q	Chamartin	2857.2
2001 3Q	Chamberi	2446.6
2001 3Q	Ciudad Lineal	2254.5
2001 3Q	Fuencarral	2047.4
2001 3Q	Hortaleza	2104.2
2001 3Q	Latina	1572.6
2001 3Q	Madrid	2077.1
2001 3Q	Moncloa	2295.5
2001 3Q	Moratalaz	1742.1
2001 3Q	Puente de Vallecas	1475
2001 3Q	Retiro	2425.8
2001 3Q	Salamanca	2615.4
2001 3Q	San Blas	1805.7
2001 3Q	Tetuan	2287.2
2001 3Q	Usera	1409.8
2001 3Q	Vicalvaro	1689.4
2001 3Q	Villa de Vallecas	1398.1
2001 3Q	Villaverde	1279.5
2001 4Q	Arganzuela	2027.4
2001 4Q	Barajas	1964.7
2001 4Q	Carabanchel	1572.9
2001 4Q	Centro	2155.5
2001 4Q	Chamartin	3006.5
2001 4Q	Chamberi	2695.1
2001 4Q	Ciudad Lineal	2277.1
2001 4Q	Fuencarral	2174.2
2001 4Q	Hortaleza	2192.9
2001 4Q	Latina	1644.9
2001 4Q	Madrid	2182.6
2001 4Q	Moncloa	2250.9
2001 4Q	Moratalaz	1826.3
2001 4Q	Puente de Vallecas	1530.8
2001 4Q	Retiro	2504.3
2001 4Q	Salamanca	2826
2001 4Q	San Blas	1851.6
2001 4Q	Tetuan	2321
2001 4Q	Usera	1532.7
2001 4Q	Vicalvaro	1664.5
2001 4Q	Villa de Vallecas	1458.8
2001 4Q	Villaverde	1342.9
2002 1Q	Arganzuela	2150.8
2002 1Q	Barajas	2082.5
2002 1Q	Carabanchel	1651.5
2002 1Q	Centro	2292
2002 1Q	Chamartin	2836.3
2002 1Q	Chamberi	2780.2
2002 1Q	Ciudad Lineal	2372.4
2002 1Q	Fuencarral	2432.3
2002 1Q	Hortaleza	2179.8
2002 1Q	Latina	1757.1
2002 1Q	Madrid	2291.1
2002 1Q	Moncloa	2643.6
2002 1Q	Moratalaz	1920.8
2002 1Q	Puente de Vallecas	1599.1
2002 1Q	Retiro	2557.6
2002 1Q	Salamanca	2902.7
2002 1Q	San Blas	1908.6
2002 1Q	Tetuan	2474.4
2002 1Q	Usera	1555.1
2002 1Q	Vicalvaro	1934.8
2002 1Q	Villa de Vallecas	1534.6
2002 1Q	Villaverde	1340.1
2002 2Q	Arganzuela	2244.3
2002 2Q	Barajas	2151.7
2002 2Q	Carabanchel	1799.2
2002 2Q	Centro	2454.7
2002 2Q	Chamartin	3095.3
2002 2Q	Chamberi	2901.7
2002 2Q	Ciudad Lineal	2495.9
2002 2Q	Fuencarral	2562.3
2002 2Q	Hortaleza	2445.4
2002 2Q	Latina	1862.8
2002 2Q	Madrid	2476.2
2002 2Q	Moncloa	2679.2
2002 2Q	Moratalaz	1990.9
2002 2Q	Puente de Vallecas	1698.2
2002 2Q	Retiro	2711
2002 2Q	Salamanca	3113.1
2002 2Q	San Blas	1949.8
2002 2Q	Tetuan	2483.7
2002 2Q	Usera	1731.9
2002 2Q	Vicalvaro	2012.4
2002 2Q	Villa de Vallecas	1543.9
2002 2Q	Villaverde	1436.4
2002 3Q	Arganzuela	2425.7
2002 3Q	Barajas	2542.6
2002 3Q	Carabanchel	1837.5
2002 3Q	Centro	2523
2002 3Q	Chamartin	3160.8
2002 3Q	Chamberi	3180.4
2002 3Q	Ciudad Lineal	2674.5
2002 3Q	Fuencarral	2675.4
2002 3Q	Hortaleza	2422
2002 3Q	Latina	2028.3
2002 3Q	Madrid	2603.4
2002 3Q	Moncloa	2621.2
2002 3Q	Moratalaz	2061
2002 3Q	Puente de Vallecas	1733.7
2002 3Q	Retiro	2847.5
2002 3Q	Salamanca	3273
2002 3Q	San Blas	2226.6
2002 3Q	Tetuan	2783.9
2002 3Q	Usera	1897.4
2002 3Q	Vicalvaro	2062.9
2002 3Q	Villa de Vallecas	1822.6
2002 3Q	Villaverde	1692.6
2002 4Q	Arganzuela	2656.7
2002 4Q	Barajas	2593.1
2002 4Q	Carabanchel	2069.5
2002 4Q	Centro	2789.5
2002 4Q	Chamartin	3529.2
2002 4Q	Chamberi	3353.4
2002 4Q	Ciudad Lineal	2818.5
2002 4Q	Fuencarral	2807.3
2002 4Q	Hortaleza	2757.7
2002 4Q	Latina	2168.6
2002 4Q	Madrid	2810.1
2002 4Q	Moncloa	2831.6
2002 4Q	Moratalaz	2315.4
2002 4Q	Puente de Vallecas	1980.6
2002 4Q	Retiro	3045.7
2002 4Q	Salamanca	3468.4
2002 4Q	San Blas	2346.3
2002 4Q	Tetuan	3024.2
2002 4Q	Usera	2032.1
2002 4Q	Vicalvaro	2040.5
2002 4Q	Villa de Vallecas	1862.8
2002 4Q	Villaverde	1736.5
2003 1Q	Arganzuela	2744.4
2003 1Q	Barajas	2605.7
2003 1Q	Carabanchel	2162.6
2003 1Q	Centro	2953.9
2003 1Q	Chamartin	3578.9
2003 1Q	Chamberi	3407.7
2003 1Q	Ciudad Lineal	2965.5
2003 1Q	Fuencarral	2951.2
2003 1Q	Hortaleza	2746.4
2003 1Q	Latina	2261.7
2003 1Q	Madrid	2925.4
2003 1Q	Moncloa	2976.6
2003 1Q	Moratalaz	2493.6
2003 1Q	Puente de Vallecas	2047.5
2003 1Q	Retiro	3132.3
2003 1Q	Salamanca	3721
2003 1Q	San Blas	2554.3
2003 1Q	Tetuan	2969.5
2003 1Q	Usera	2112.1
2003 1Q	Vicalvaro	2189.9
2003 1Q	Villa de Vallecas	2021
2003 1Q	Villaverde	1801.9
2003 2Q	Arganzuela	2845.1
2003 2Q	Barajas	2743.2
2003 2Q	Carabanchel	2240.6
2003 2Q	Centro	2965.1
2003 2Q	Chamartin	3676.7
2003 2Q	Chamberi	3613.8
2003 2Q	Ciudad Lineal	3078.6
2003 2Q	Fuencarral	2958.9
2003 2Q	Hortaleza	2863.3
2003 2Q	Latina	2365.7
2003 2Q	Madrid	3026.1
2003 2Q	Moncloa	3151.4
2003 2Q	Moratalaz	2531.1
2003 2Q	Puente de Vallecas	2197.9
2003 2Q	Retiro	3259.1
2003 2Q	Salamanca	3733.7
2003 2Q	San Blas	2581.3
2003 2Q	Tetuan	3069.3
2003 2Q	Usera	2197.5
2003 2Q	Vicalvaro	2267.3
2003 2Q	Villa de Vallecas	2111.4
2003 2Q	Villaverde	1888.7
